wave,enabled,full_name,github_repository_id,ecosystem,primary_language,license_spdx,default_branch,stars_snapshot,open_items_api,pushed_at_utc,community_health,has_contributing,has_code_of_conduct,has_issue_template_community_api,has_pr_template,open_good_first_issues,candidate_labels,pilot_role,code_access_policy,verified_on,notes
1,true,matplotlib/matplotlib,1385122,python,Python,NOASSERTION,main,22980,1471,2026-07-11T04:57:56Z,87,true,true,false,true,19,"ai-contribution|Difficulty: Easy|first-contribution|Good first issue",current_newcomer_seed,metadata_only_pending_license_review,2026-07-12,"GitHub repository API did not return SPDX; manually review the repository license before reading code content"
1,true,scikit-learn/scikit-learn,843222,python,Python,BSD-3-Clause,main,66690,2101,2026-07-11T05:42:37Z,87,true,true,false,true,0,"Easy|good first issue|good first PR to review|help wanted",history_and_discovery,tree_and_selected_files,2026-07-12,"No open good first issue at verification time; custom labels remain useful weak signals"
1,true,pytest-dev/pytest,37489525,python,Python,MIT,main,14336,977,2026-07-07T15:04:41Z,87,true,true,false,true,0,"good first issue|status: help wanted",history_and_discovery,tree_and_selected_files,2026-07-12,"Testing-focused project with rich contribution history"
1,true,microsoft/vscode,41881900,typescript,TypeScript,MIT,main,187440,19190,2026-07-11T15:26:10Z,100,true,true,false,true,20,"good first issue",current_newcomer_seed,tree_and_selected_files,2026-07-12,"Large repository used to validate pagination and scale; restrict tree/content analysis to selected modules"
1,true,eslint/eslint,11061773,javascript,JavaScript,MIT,main,27505,105,2026-07-11T08:39:17Z,87,true,true,false,true,0,"contributor pool|good first issue|help wanted",history_and_discovery,tree_and_selected_files,2026-07-12,"Relatively bounded open-item volume for JS pipeline smoke tests"
2,true,pandas-dev/pandas,858127,python,Python,BSD-3-Clause,main,49167,3045,2026-07-11T16:34:15Z,87,true,true,false,true,0,"",history_training,tree_and_selected_files,2026-07-12,"Large historical dataset; add only after Wave 1 request and storage costs are measured"
2,true,wagtail/wagtail,16479108,python,Python,BSD-3-Clause,main,20386,1026,2026-07-08T08:55:15Z,100,true,true,false,true,0,"good first issue",history_and_discovery,tree_and_selected_files,2026-07-12,"Adds Django and full-stack task structure"
2,true,vitejs/vite,257485422,typescript,TypeScript,MIT,main,82002,720,2026-07-10T11:36:34Z,87,true,true,false,true,0,"contribution welcome|good first issue|help wanted",history_and_discovery,tree_and_selected_files,2026-07-12,"Use contribution welcome as a project-specific weak signal"
2,true,freeCodeCamp/freeCodeCamp,28457823,typescript,TypeScript,BSD-3-Clause,main,451591,262,2026-07-11T14:35:33Z,100,true,true,false,true,0,"first timers only|help wanted",non_code_and_newcomer_process,tree_and_selected_files,2026-07-12,"Includes curriculum documentation and code; sample task types explicitly"
2,true,sveltejs/svelte,74293321,javascript,JavaScript,MIT,main,87583,1078,2026-07-10T19:01:10Z,87,true,true,true,true,0,"good first issue|help wanted",history_and_discovery,tree_and_selected_files,2026-07-12,"Issue template detected by community profile API"
3,true,nodejs/node,27193779,nodejs,JavaScript,NOASSERTION,main,118374,2358,2026-07-15T14:04:03Z,0,true,true,false,false,7,"good first issue|help wanted",language_coverage_expansion,metadata_only_pending_license_review,2026-07-16,"GitHub contribute page currently lists JavaScript newcomer tasks; exact inventory is verified during sync"
3,true,storybookjs/storybook,54173593,npm,TypeScript,MIT,next,90702,1747,2026-07-15T16:53:33Z,0,true,true,false,false,6,"good first issue|help wanted",language_coverage_expansion,tree_and_selected_files,2026-07-16,"TypeScript UI and testing coverage with active newcomer issues"
